w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,spam
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
0,0,1,0,0,0,0,0,0,0,1
0,1,1,0,1,0,0,0,0,0,1
0,1,1,0,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,1,1
1,0,1,0,1,0,0,0,0,0,1
0,0,1,0,1,0,1,1,0,0,1
0,1,0,0,1,0,1,0,0,1,1
1,1,1,0,1,1,0,1,0,0,1
1,0,1,0,0,0,0,0,0,1,1
0,1,1,0,1,0,1,0,0,1,1
0,0,0,0,0,0,1,0,0,1,1
1,0,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,1,1,1,1,1
0,1,1,0,1,0,0,0,0,0,1
0,1,1,0,1,0,0,0,0,0,1
0,1,1,0,1,1,1,0,0,0,1
0,0,1,0,1,0,1,0,0,0,1
0,1,1,0,0,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,0,1
1,1,1,0,1,1,0,1,1,1,1
0,1,1,0,1,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,0,1,1
0,1,1,0,0,0,0,1,0,0,1
0,0,1,0,1,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,1,1,0,1,0,1,1,0,1,1
0,0,1,0,1,1,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,1
0,1,1,0,1,0,1,0,0,0,1
1,1,1,0,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1,1
1,0,1,0,0,0,0,1,0,0,1
0,0,1,0,0,0,1,0,0,0,1
0,1,1,0,1,0,0,0,0,0,1
0,1,1,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,1,1
1,1,1,0,0,0,0,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,1,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,1,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,1,0,1,1,1,1,1
0,0,1,0,1,0,0,0,0,0,1
1,1,1,0,1,1,0,1,1,0,1
1,1,1,0,1,1,0,1,1,0,1
0,0,0,0,1,0,1,1,1,1,1
0,1,1,0,1,0,1,0,0,0,1
1,1,1,0,1,1,0,1,1,0,1
1,1,1,0,1,1,0,1,1,0,1
1,1,1,0,1,1,0,1,1,1,1
0,1,1,0,1,0,1,0,0,1,1
0,0,0,0,1,0,1,0,0,0,1
1,0,1,0,1,1,1,1,1,1,1
1,0,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,1,0,1,1,0,1,1
1,0,1,0,0,1,0,0,0,0,1
0,0,1,0,1,0,1,0,0,1,1
0,0,0,0,1,1,1,1,0,0,1
0,0,1,0,1,0,0,0,0,1,1
0,0,1,0,1,1,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,1,1,0,1,0,0,1,0,0,1
0,1,1,0,1,0,0,1,0,0,1
1,0,1,0,1,1,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,1,0,0,0,1,0,1
1,0,1,0,1,1,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
1,1,1,0,1,1,0,1,1,1,1
0,0,0,0,0,0,1,0,0,0,1
0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,1,1,0,0,0,0,1
0,1,1,0,1,0,1,0,0,1,1
1,0,1,0,0,0,0,0,0,0,1
0,0,1,0,1,1,0,1,1,1,1
1,0,1,0,0,1,0,0,0,0,1
0,1,1,0,1,0,1,0,0,0,1
1,0,1,0,1,0,0,0,0,0,1
0,0,1,0,1,0,0,0,0,1,1
0,0,1,0,1,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,1,1,1,1,1
0,0,0,0,1,1,1,0,0,0,1
1,0,0,0,1,1,0,0,0,1,1
0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,1,0,0,0,0,1,1
1,0,1,0,0,0,0,1,0,0,1
1,1,1,0,1,1,0,1,0,0,1
0,1,1,0,0,0,1,0,0,1,1
1,0,1,0,0,0,0,1,0,0,1
1,0,1,0,0,0,1,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,1,1,0,1,0,0,0,0,0,1
0,1,1,0,1,0,1,0,0,1,1
0,0,0,0,0,0,1,0,0,1,1
1,0,1,0,1,0,1,0,1,0,1
1,0,1,0,1,1,1,1,1,1,1
0,0,1,0,1,0,0,0,0,1,1
0,0,1,0,1,0,0,0,0,1,1
0,0,0,0,0,1,0,1,0,1,1
0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,1,1
0,1,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,1
1,1,1,0,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1,1
1,0,0,0,1,1,0,0,0,1,1
1,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1
0,1,1,0,1,1,0,1,1,0,1
0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,1,1,0,0,0,1,1
0,0,0,0,1,1,1,0,0,0,1
0,1,1,0,1,1,1,1,0,0,1
0,0,1,0,1,0,0,0,0,0,1
0,1,0,0,1,0,0,0,0,1,1
0,1,1,0,1,0,1,0,0,1,1
1,0,1,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,1,1
1,0,1,0,1,0,1,0,0,0,1
1,0,1,0,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,0,0,1
1,1,0,0,0,0,1,0,0,1,1
0,1,1,0,1,0,1,0,0,0,1
0,0,1,0,1,0,0,0,0,1,1
0,0,1,0,1,0,0,0,0,1,1
1,0,1,0,1,0,1,0,0,0,1
1,0,0,0,1,1,0,1,0,1,1
0,0,1,0,1,0,0,0,0,1,1
0,0,1,0,1,0,0,0,0,1,1
0,0,1,0,1,0,0,0,0,0,1
0,0,1,0,0,0,1,0,0,0,1
1,1,1,0,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1,1
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
1,0,1,0,1,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,0,1,1,0,1
1,1,1,0,1,1,0,1,1,0,1
1,1,1,0,1,1,1,1,1,1,1
0,0,1,0,1,0,0,0,1,0,1
1,0,1,0,0,0,0,1,0,0,1
1,0,1,0,1,0,1,0,0,1,1
0,0,1,0,1,0,0,0,1,1,1
1,1,1,0,1,0,1,1,0,1,1
0,0,1,0,1,1,1,1,0,0,1
0,0,1,0,1,1,1,1,0,0,1
1,1,1,0,1,0,0,1,0,0,1
1,0,0,0,1,1,0,1,0,1,1
0,0,1,0,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,1,1
0,0,1,0,1,0,1,0,1,0,1
0,0,1,0,1,0,0,0,0,1,1
1,1,1,0,1,0,1,0,0,1,1
0,0,1,0,1,0,0,0,0,1,1
1,1,0,0,0,0,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,1,1,1,1,1,1,1
0,1,1,0,1,1,1,0,0,1,1
0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,1,1,0,0,1,1,1
0,1,1,0,1,1,1,0,0,1,1
0,0,0,0,0,1,0,1,0,0,1
0,0,1,0,1,1,1,1,0,0,1
0,0,1,0,1,0,0,1,0,1,1
0,1,1,0,1,1,1,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1
0,0,1,0,1,0,0,0,1,0,1
0,0,1,0,1,0,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
1,1,1,0,1,1,1,0,1,1,1
1,1,1,0,1,1,0,1,1,1,1
1,1,1,0,1,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,1,0,0,1,0,1,1
1,0,1,0,1,0,0,0,0,0,1
0,0,1,0,1,1,1,1,0,0,1
1,1,1,0,1,1,1,0,1,1,1
0,0,1,0,1,1,1,1,0,0,1
0,0,1,0,1,0,1,0,1,1,1
0,0,1,0,1,1,0,0,0,0,1
0,1,1,0,1,0,1,0,0,1,1
0,1,0,0,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,1,1,1
0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,0,1,0,1,0,0,1
1,0,0,0,1,0,1,0,0,0,1
1,1,1,0,0,0,0,0,1,1,1
1,1,1,0,0,0,0,0,1,1,1
0,0,1,0,1,0,1,0,0,0,1
1,1,0,0,1,0,0,0,1,1,1
0,0,0,0,1,0,1,0,0,0,1
0,1,1,0,1,1,1,0,0,1,1
0,1,0,0,0,0,1,1,0,1,1
0,0,1,0,1,0,0,0,1,0,1
0,1,1,0,1,1,1,0,0,1,1
0,1,1,0,1,0,1,0,0,1,1
0,1,1,0,1,1,1,0,0,1,1
0,1,0,0,0,0,1,0,0,0,1
0,0,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,1,0,0,1,1
1,0,1,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,0,1
0,0,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,0,0,0,0,1
0,0,1,0,1,0,0,0,0,0,1
1,0,1,0,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1,1
0,0,0,0,0,0,1,0,0,0,1
1,1,1,0,1,1,1,1,1,1,1
1,1,1,0,1,1,1,0,1,1,1
0,1,0,0,1,0,1,1,0,1,1
0,0,1,0,1,0,0,1,1,1,1
0,0,0,0,0,0,0,1,0,0,1
0,0,1,0,1,1,1,1,0,0,1
1,0,1,0,1,0,0,0,0,0,1
1,0,1,0,0,0,0,0,1,0,1
0,1,1,0,0,1,0,1,1,1,1
1,0,1,0,1,1,1,1,0,0,1
1,1,1,0,1,0,1,1,0,1,1
0,1,1,0,0,1,0,1,1,1,1
1,0,1,0,1,0,1,0,0,0,1
0,0,1,0,1,1,1,1,0,0,1
1,0,1,0,1,0,1,0,0,0,1
0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,1,1,0,0,0,1
0,0,1,0,1,0,0,0,0,0,1
0,1,1,0,1,0,0,0,0,0,1
0,0,1,0,1,0,1,0,1,1,1
1,0,1,0,1,1,1,1,1,1,1
0,1,1,0,1,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,1,0,0,1,1
0,0,1,0,0,0,0,0,0,0,1
0,1,1,0,0,1,0,1,1,1,1
0,1,1,0,0,1,0,1,1,1,1
0,0,1,0,1,1,1,1,0,0,1
0,0,0,0,0,0,0,1,0,1,1
0,1,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,1,0,1,0,1,1,1
0,1,1,0,1,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,1,0,1,0,1,1,1
0,0,1,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,0,0,1
1,0,0,0,1,1,0,0,1,0,1
0,0,1,0,1,0,0,0,0,0,1
1,0,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,1,0,0,0,1
0,0,1,0,1,1,1,1,0,0,1
0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,1,0,1,0,0,0,1
1,0,1,0,1,0,0,0,0,0,1
1,1,1,1,1,0,0,0,1,1,1
0,0,0,0,0,0,0,1,0,1,1
1,0,1,0,1,0,0,0,0,0,1
1,0,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,1,1
0,0,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,1,1,1,1,0,0,1
1,0,1,0,1,1,1,1,1,1,1
0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,1,1,1,1
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
0,1,1,0,1,0,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,1,0,0,0,0,0,1
0,0,1,0,1,0,0,0,1,1,1
0,0,1,0,1,1,1,1,0,0,1
0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,1,0,0,0,1,1,1
0,0,0,0,0,0,1,0,0,0,1
1,0,1,0,1,1,1,0,0,0,1
0,0,1,0,1,1,1,1,0,0,1
0,0,1,0,1,0,0,0,0,0,1
0,1,1,0,1,0,0,1,0,1,1
0,0,1,0,1,0,0,0,0,1,1
1,1,1,0,0,0,0,0,1,0,1
0,0,1,0,1,0,0,0,0,0,1
0,0,0,0,1,1,1,0,0,1,1
0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,1,1,0,1,1,1,1
0,1,1,0,1,0,1,1,0,1,1
0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,1
1,0,1,0,1,0,0,0,1,1,1
0,0,1,0,1,1,0,1,0,0,1
1,1,1,0,1,1,1,1,1,1,1
0,0,1,0,1,0,0,0,0,0,1
0,0,1,0,1,0,1,0,1,1,1
1,0,1,0,1,1,0,1,1,1,1
1,0,1,0,1,1,0,1,1,1,1
1,1,1,0,1,1,0,1,1,1,1
1,1,1,0,1,1,1,0,1,1,1
1,0,1,0,1,1,0,1,1,0,1
0,0,1,0,1,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,1,0,0,1,0,0,1
1,0,0,0,1,0,1,0,0,0,1
1,1,1,0,1,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,1,0,1,1,0,0,1
0,0,1,0,0,0,1,1,0,0,1
1,1,1,0,1,1,0,1,1,1,1
0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,1,0,1,0,0,0,1
1,0,1,0,1,0,1,0,0,1,1
0,0,1,0,1,0,0,0,0,0,1
1,0,1,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1,0,1
1,1,1,0,1,1,1,0,1,1,1
0,0,1,0,1,0,0,1,1,0,1
1,0,1,0,1,1,0,0,0,1,1
0,0,0,1,1,0,0,1,0,0,1
1,0,1,0,1,1,1,0,0,0,1
1,1,1,0,1,1,1,1,1,1,1
0,1,1,0,1,0,1,0,0,1,1
0,0,1,0,1,0,0,0,0,0,1
1,1,1,0,0,0,0,0,1,1,1
0,0,1,0,1,0,1,0,0,0,1
1,0,1,0,1,0,1,0,0,0,1
1,0,1,0,1,1,1,1,1,1,1
0,0,1,0,1,0,1,0,0,0,1
0,0,1,0,1,0,0,0,0,0,1
1,1,1,0,1,1,0,1,1,1,1
0,0,0,0,0,1,0,1,1,1,1
1,0,1,0,1,0,0,0,1,1,1
0,0,1,0,1,0,1,0,0,0,1
0,0,1,0,1,0,0,0,0,0,1
1,1,1,0,1,1,1,1,1,1,1
1,0,1,0,1,0,0,0,1,1,1
0,0,1,0,0,0,1,0,0,0,1
0,1,1,0,1,0,1,0,0,0,1
0,0,1,0,1,0,1,0,0,0,1
0,0,1,0,1,1,0,0,0,0,1
0,0,1,0,1,0,1,1,0,1,1
0,0,1,0,0,0,0,0,0,0,1
0,0,1,0,1,0,1,1,0,1,1
0,1,1,0,1,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,1,0,0,0,1,1,1
0,0,1,0,1,0,0,0,0,0,1
0,0,1,0,1,1,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,1
0,0,1,0,0,0,0,0,0,0,1
1,1,1,0,1,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,1,1,0,0,1
0,1,1,0,1,0,0,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
1,0,1,0,1,0,0,0,1,1,1
1,1,1,0,1,1,0,1,0,0,1
1,1,1,0,1,1,0,1,0,0,1
1,1,1,0,0,0,1,0,1,1,1
0,0,1,0,1,0,0,0,0,0,1
0,1,1,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,1,1,0,0,0,0,1
0,0,1,0,1,0,1,1,0,1,1
0,1,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,1,1,1,0,0,0,1
0,0,0,0,1,1,1,0,0,0,1
0,0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,0,0,1,1,1
0,1,0,0,1,1,0,1,0,1,1
1,1,1,0,1,0,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,1,0,0,0,0,1,1
0,0,0,0,0,0,0,0,1,0,1
0,0,1,0,1,1,1,1,0,0,1
0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,1,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,1,1,1,1,1,0,1
1,1,1,0,1,1,0,1,1,1,1
1,0,1,0,1,1,1,0,1,1,1
0,0,0,0,0,0,0,1,1,0,1
1,0,1,0,1,1,1,0,1,1,1
0,0,1,0,1,1,0,1,0,1,1
1,1,1,0,1,1,1,1,1,1,1
1,0,1,0,1,1,0,0,1,1,1
0,0,0,0,1,1,1,0,0,0,1
0,1,1,0,1,1,1,1,0,1,1
1,0,1,0,1,1,1,0,1,1,1
0,0,0,0,1,1,1,0,0,0,1
0,1,1,0,1,0,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,1,1,0,0,1,0,1,0,1,1
1,1,1,0,1,1,1,1,1,1,1
1,1,1,0,1,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,1
0,0,1,0,1,0,0,1,0,0,1
1,1,1,0,1,1,1,1,1,1,1
0,0,1,0,1,0,0,1,1,1,1
0,1,1,0,1,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,0,1
1,1,1,0,1,1,1,1,0,1,1
0,1,1,0,1,0,0,0,0,1,1
0,0,0,0,0,0,0,1,0,0,1
1,1,1,0,1,1,1,1,0,1,1
0,1,1,0,0,0,0,0,1,1,1
0,0,1,0,1,0,0,1,0,0,1
1,1,1,0,1,0,0,1,1,1,1
1,1,1,0,1,1,0,0,1,1,1
1,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,1,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,1,0,1,0,0,1
0,0,1,0,1,0,1,0,1,0,1
0,1,1,0,1,1,1,1,0,1,1
1,0,1,0,1,1,0,1,1,0,1
0,0,1,0,1,0,0,1,0,0,1
1,1,1,0,0,0,0,0,1,1,1
0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,0,0,0,0,1,1,1
1,1,1,0,1,1,1,1,1,1,1
0,0,1,0,1,1,0,0,0,0,1
1,0,1,0,0,0,0,1,0,0,1
1,0,1,0,0,0,0,1,0,0,1
0,0,1,0,1,1,0,0,0,0,1
1,1,0,0,1,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,1,1,1,1,1,1,1
1,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
0,1,1,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,1,1,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,1,1,0,1,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,1,1
1,1,0,0,1,0,1,1,1,0,1
1,1,0,0,0,0,1,1,1,1,1
0,0,1,0,1,0,1,0,0,0,1
1,0,1,0,1,1,0,1,1,1,1
0,1,1,0,0,0,1,1,0,1,1
0,1,0,0,1,0,0,1,0,0,1
1,1,1,0,1,1,0,1,1,1,1
1,0,1,0,1,1,0,1,1,1,1
1,1,1,0,0,1,0,1,1,1,1
0,1,1,0,1,1,1,0,0,0,1
1,0,1,0,0,1,0,0,0,1,1
0,0,1,0,1,0,0,0,0,0,1
0,0,1,0,1,0,0,0,1,0,1
0,0,1,0,0,0,0,1,0,0,1
0,0,1,0,1,1,1,1,1,0,1
0,1,0,0,1,0,1,0,0,0,1
0,1,1,0,0,0,1,0,0,0,1
0,1,1,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
0,0,1,0,1,0,0,0,1,1,1
1,1,1,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,1,1,1,1,0,0,1
1,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,1,1,1,1,1
1,1,1,0,0,1,1,1,1,1,1
1,1,1,0,0,1,1,1,1,1,1
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,1,1,1,1,1
0,0,1,0,0,0,0,1,0,0,1
1,0,1,0,1,1,0,1,1,0,1
1,1,1,0,1,1,1,1,1,1,1
1,1,1,0,0,1,1,1,1,1,1
0,0,0,0,1,1,0,0,0,0,1
0,0,1,0,1,0,0,0,1,1,1
0,1,1,0,1,0,1,0,1,1,1
1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,1
0,1,0,0,0,0,1,0,0,1,1
1,1,1,0,1,0,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,1,1,1,0,1,1,1
0,0,0,0,0,0,1,0,0,0,1
1,1,1,0,1,1,0,1,1,1,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,1
1,1,1,0,1,1,1,1,1,1,1
1,0,0,0,0,1,1,0,0,0,1
0,1,1,0,0,0,0,1,1,1,1
1,1,1,0,1,1,0,1,1,1,1
1,0,1,0,1,1,0,0,0,1,1
0,0,1,0,1,1,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,1
0,1,1,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,1,0,0,1
1,0,1,0,1,1,0,1,1,0,1
1,1,1,0,1,1,0,1,1,1,1
1,0,1,0,1,1,1,0,0,0,1
1,1,1,0,1,1,1,0,1,1,1
1,1,1,0,1,1,0,1,1,1,1
1,1,1,0,1,1,0,1,1,1,1
0,0,1,0,1,0,0,0,0,0,1
1,0,1,0,1,0,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,1,1,0,1,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1
1,1,1,0,1,1,1,1,1,1,1
0,0,0,0,1,0,0,1,0,1,1
1,1,1,0,0,0,0,1,1,1,1
0,0,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,1,1,0,0,0,1
0,0,1,0,1,1,1,1,0,1,1
1,1,1,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,1,1,1,1,1
