"checking.status","duration.in.months","credit.history","purpose","amount","savings","employed.since","percentage.of.disposable.income","personal.status.and.sex","cosigners","at.residence.since","property","age.in.years","other.installment.plans","housing","num.credits.at.bank","job","num.dependents","telephone","foreign.worker","good.loan","Good.Loan"
"< 0 DM",10,"critical","car (new)",2241,"< 100 DM","< 1 year",1,"male:single","none",3,"real estate",48,"none","rent",2,"unskilled - resident",2,"none","no",1,"GoodLoan"
"< 200 DM",12,"critical","car (used)",1804,"< 500 DM","< 1 year",3,"male:single","none",4,"savings/life ins",44,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",10,"critical","furniture/equipment",2069,"unknown","< 4 years",2,"male:married/widowed","none",1,"car or other",26,"none","own",2,"skilled employee/official",1,"none","no",1,"GoodLoan"
"< 0 DM",6,"paid to date","furniture/equipment",1374,"< 100 DM","< 4 years",1,"male:single","none",2,"real estate",36,"bank","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",6,"fully paid","radio/television",426,"< 100 DM",">= 7 years",4,"male:married/widowed","none",4,"car or other",39,"none","own",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
">= 200 DM",12,"fully paid at this bank","radio/television",409,">= 1000 DM","< 4 years",3,"female:divorced/separated/married","none",3,"real estate",42,"none","rent",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",7,"paid to date","radio/television",2415,"< 100 DM","< 4 years",3,"male:single","guarantor",2,"real estate",34,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",60,"past delays","business",6836,"< 100 DM",">= 7 years",3,"male:single","none",4,"unknown",63,"none","own",2,"skilled employee/official",1,"yes, registered under the customers name","yes",2,"BadLoan"
"< 200 DM",18,"paid to date","business",1913,">= 1000 DM","< 1 year",3,"male:married/widowed","none",3,"real estate",36,"bank","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",24,"paid to date","furniture/equipment",4020,"< 100 DM","< 4 years",2,"male:single","none",2,"car or other",27,"stores","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",18,"paid to date","car (new)",5866,"< 500 DM","< 4 years",2,"male:single","none",2,"car or other",30,"none","own",2,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",12,"critical","business",1264,"unknown",">= 7 years",4,"male:single","none",4,"unknown",57,"none","rent",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
">= 200 DM",12,"paid to date","furniture/equipment",1474,"< 100 DM","< 1 year",4,"female:divorced/separated/married","none",1,"savings/life ins",33,"bank","own",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",45,"critical","radio/television",4746,"< 100 DM","< 1 year",4,"male:single","none",2,"savings/life ins",25,"none","own",2,"unskilled - resident",1,"none","yes",2,"BadLoan"
"no checking",48,"critical","education",6110,"< 100 DM","< 4 years",1,"male:single","none",3,"unknown",31,"bank","for free",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
">= 200 DM",18,"paid to date","radio/television",2100,"< 100 DM","< 4 years",4,"male:single","co-applicant",2,"real estate",37,"stores","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
">= 200 DM",10,"paid to date","domestic appliances",1225,"< 100 DM","< 4 years",2,"male:single","none",2,"car or other",37,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",9,"paid to date","radio/television",458,"< 100 DM","< 4 years",4,"male:single","none",3,"real estate",24,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",30,"paid to date","radio/television",2333,"< 1000 DM",">= 7 years",4,"male:single","none",2,"car or other",30,"bank","own",1,"management/self-employed/highly qualified employee/ officer",1,"none","yes",1,"GoodLoan"
"< 200 DM",12,"paid to date","radio/television",1158,"< 1000 DM","< 4 years",3,"male:divorced/separated","none",1,"car or other",26,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",18,"past delays","repairs",6204,"< 100 DM","< 4 years",2,"male:single","none",4,"real estate",44,"none","own",1,"unskilled - resident",2,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",30,"critical","car (used)",6187,"< 500 DM","< 7 years",1,"male:married/widowed","none",4,"car or other",24,"none","rent",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",48,"critical","car (used)",6143,"< 100 DM",">= 7 years",4,"female:divorced/separated/married","none",4,"unknown",58,"stores","for free",2,"unskilled - resident",1,"none","yes",2,"BadLoan"
"no checking",11,"critical","car (new)",1393,"< 100 DM","< 1 year",4,"female:divorced/separated/married","none",4,"car or other",35,"none","own",2,"management/self-employed/highly qualified employee/ officer",1,"none","yes",1,"GoodLoan"
"no checking",36,"paid to date","radio/television",2299,"< 1000 DM",">= 7 years",4,"male:single","none",4,"car or other",39,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",6,"paid to date","car (used)",1352,"< 1000 DM","unemployed",1,"female:divorced/separated/married","none",2,"savings/life ins",23,"none","rent",1,"unemployed/unskilled - non-resident",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",11,"critical","car (new)",7228,"< 100 DM","< 4 years",1,"male:single","none",4,"savings/life ins",39,"none","own",2,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"no checking",12,"paid to date","radio/television",2073,"< 500 DM","< 4 years",4,"female:divorced/separated/married","co-applicant",2,"real estate",28,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",24,"past delays","furniture/equipment",2333,"unknown","< 1 year",4,"male:single","none",2,"savings/life ins",29,"bank","own",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 200 DM",27,"past delays","car (used)",5965,"< 100 DM",">= 7 years",1,"male:single","none",2,"car or other",30,"none","own",2,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",12,"paid to date","radio/television",1262,"< 100 DM","< 4 years",3,"male:single","none",2,"car or other",25,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",18,"paid to date","car (used)",3378,"unknown","< 4 years",2,"male:single","none",1,"savings/life ins",31,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",36,"past delays","car (new)",2225,"< 100 DM",">= 7 years",4,"male:single","none",4,"unknown",57,"bank","for free",2,"skilled employee/official",1,"yes, registered under the customers name","yes",2,"BadLoan"
"no checking",6,"fully paid at this bank","car (new)",783,"unknown","< 4 years",1,"male:single","guarantor",2,"real estate",26,"stores","own",1,"unskilled - resident",2,"none","yes",1,"GoodLoan"
"< 200 DM",12,"paid to date","radio/television",6468,"unknown","unemployed",2,"male:single","none",1,"unknown",52,"none","own",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",2,"BadLoan"
"no checking",36,"critical","radio/television",9566,"< 100 DM","< 4 years",2,"female:divorced/separated/married","none",2,"car or other",31,"stores","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
">= 200 DM",18,"paid to date","car (new)",1961,"< 100 DM",">= 7 years",3,"female:divorced/separated/married","none",2,"car or other",23,"none","own",1,"management/self-employed/highly qualified employee/ officer",1,"none","yes",1,"GoodLoan"
"< 0 DM",36,"critical","furniture/equipment",6229,"< 100 DM","< 1 year",4,"female:divorced/separated/married","co-applicant",4,"unknown",23,"none","rent",2,"unskilled - resident",1,"yes, registered under the customers name","yes",2,"BadLoan"
"< 200 DM",9,"paid to date","business",1391,"< 100 DM","< 4 years",2,"male:married/widowed","none",1,"real estate",27,"bank","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",15,"critical","radio/television",1537,"unknown",">= 7 years",4,"male:single","guarantor",4,"real estate",50,"none","own",2,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",36,"fully paid","business",1953,"< 100 DM",">= 7 years",4,"male:single","none",4,"unknown",61,"none","for free",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",2,"BadLoan"
"< 200 DM",48,"fully paid","business",14421,"< 100 DM","< 4 years",2,"male:single","none",2,"car or other",25,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",2,"BadLoan"
"no checking",24,"paid to date","radio/television",3181,"< 100 DM","< 1 year",4,"female:divorced/separated/married","none",4,"savings/life ins",26,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",27,"paid to date","repairs",5190,"unknown",">= 7 years",4,"male:single","none",4,"savings/life ins",48,"none","own",4,"skilled employee/official",2,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",12,"paid to date","radio/television",2171,"< 100 DM","< 1 year",2,"female:divorced/separated/married","none",2,"car or other",29,"bank","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",12,"paid to date","car (new)",1007,">= 1000 DM","< 4 years",4,"male:married/widowed","none",1,"real estate",22,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",36,"paid to date","education",1819,"< 100 DM","< 4 years",4,"male:single","none",4,"unknown",37,"stores","for free",1,"skilled employee/official",1,"yes, registered under the customers name","yes",2,"BadLoan"
"no checking",36,"paid to date","radio/television",2394,"unknown","< 4 years",4,"female:divorced/separated/married","none",4,"car or other",25,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",36,"paid to date","car (used)",8133,"< 100 DM","< 4 years",1,"female:divorced/separated/married","none",2,"savings/life ins",30,"bank","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",7,"critical","radio/television",730,"unknown",">= 7 years",4,"male:single","none",2,"savings/life ins",46,"none","rent",2,"unskilled - resident",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",8,"critical","others",1164,"< 100 DM",">= 7 years",3,"male:single","none",4,"unknown",51,"bank","for free",2,"management/self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",42,"critical","business",5954,"< 100 DM","< 7 years",2,"female:divorced/separated/married","none",1,"real estate",41,"bank","own",2,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 0 DM",36,"paid to date","education",1977,"unknown",">= 7 years",4,"male:single","none",4,"unknown",40,"none","own",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",2,"BadLoan"
"< 0 DM",12,"critical","car (used)",1526,"< 100 DM",">= 7 years",4,"male:single","none",4,"unknown",66,"none","for free",2,"management/self-employed/highly qualified employee/ officer",1,"none","yes",1,"GoodLoan"
"< 0 DM",42,"paid to date","radio/television",3965,"< 100 DM","< 1 year",4,"male:single","none",3,"car or other",34,"none","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 200 DM",11,"past delays","radio/television",4771,"< 100 DM","< 7 years",2,"male:single","none",4,"savings/life ins",51,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",54,"fully paid","car (used)",9436,"unknown","< 4 years",2,"male:single","none",2,"savings/life ins",39,"none","own",1,"unskilled - resident",2,"none","yes",1,"GoodLoan"
"< 200 DM",30,"paid to date","furniture/equipment",3832,"< 100 DM","< 1 year",2,"male:married/widowed","none",1,"savings/life ins",22,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",24,"paid to date","radio/television",5943,"unknown","< 1 year",1,"female:divorced/separated/married","none",1,"car or other",44,"none","own",2,"skilled employee/official",1,"yes, registered under the customers name","yes",2,"BadLoan"
"no checking",15,"paid to date","radio/television",1213,"< 1000 DM",">= 7 years",4,"male:single","none",3,"savings/life ins",47,"stores","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",18,"paid to date","business",1568,"< 500 DM","< 4 years",3,"female:divorced/separated/married","none",4,"savings/life ins",24,"none","rent",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 0 DM",24,"paid to date","others",1755,"< 100 DM",">= 7 years",4,"female:divorced/separated/married","guarantor",4,"real estate",58,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",10,"paid to date","radio/television",2315,"< 100 DM",">= 7 years",3,"male:single","none",4,"real estate",52,"none","own",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"no checking",12,"critical","business",1412,"< 100 DM","< 4 years",4,"female:divorced/separated/married","guarantor",2,"real estate",29,"none","own",2,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",18,"critical","furniture/equipment",1295,"< 100 DM","< 1 year",4,"female:divorced/separated/married","none",1,"savings/life ins",27,"none","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",36,"paid to date","education",12612,"< 500 DM","< 4 years",1,"male:single","none",4,"unknown",47,"none","for free",1,"skilled employee/official",2,"yes, registered under the customers name","yes",2,"BadLoan"
"< 0 DM",18,"paid to date","car (new)",2249,"< 500 DM","< 7 years",4,"male:single","none",3,"car or other",30,"none","own",1,"management/self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",12,"fully paid","repairs",1108,"< 100 DM","< 7 years",4,"male:single","none",3,"real estate",28,"none","own",2,"skilled employee/official",1,"none","yes",2,"BadLoan"
"no checking",12,"critical","radio/television",618,"< 100 DM",">= 7 years",4,"male:single","none",4,"real estate",56,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",12,"critical","car (used)",1409,"< 100 DM",">= 7 years",4,"male:single","none",3,"real estate",54,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",12,"critical","radio/television",797,"unknown",">= 7 years",4,"female:divorced/separated/married","none",3,"savings/life ins",33,"bank","own",1,"unskilled - resident",2,"none","yes",2,"BadLoan"
">= 200 DM",24,"critical","furniture/equipment",3617,"unknown",">= 7 years",4,"male:single","co-applicant",4,"unknown",20,"none","rent",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",12,"paid to date","car (new)",1318,">= 1000 DM",">= 7 years",4,"male:single","none",4,"real estate",54,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",54,"fully paid","business",15945,"< 100 DM","< 1 year",3,"male:single","none",4,"unknown",58,"none","rent",1,"skilled employee/official",1,"yes, registered under the customers name","yes",2,"BadLoan"
"no checking",12,"critical","education",2012,"unknown","< 7 years",4,"female:divorced/separated/married","none",2,"car or other",61,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",18,"paid to date","business",2622,"< 500 DM","< 4 years",4,"male:single","none",4,"car or other",34,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",36,"critical","radio/television",2337,"< 100 DM",">= 7 years",4,"male:single","none",4,"real estate",36,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",20,"past delays","car (used)",7057,"unknown","< 7 years",3,"male:single","none",4,"savings/life ins",36,"bank","rent",2,"management/self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",24,"paid to date","car (new)",1469,"< 500 DM",">= 7 years",4,"male:married/widowed","none",4,"real estate",41,"none","rent",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 200 DM",36,"paid to date","radio/television",2323,"< 100 DM","< 7 years",4,"male:single","none",4,"car or other",24,"none","rent",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",6,"past delays","radio/television",932,"< 100 DM","< 4 years",3,"female:divorced/separated/married","none",2,"real estate",24,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",9,"critical","furniture/equipment",1919,"< 100 DM","< 7 years",4,"male:single","none",3,"car or other",35,"none","rent",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",12,"paid to date","car (used)",2445,"unknown","< 1 year",2,"male:married/widowed","none",4,"car or other",26,"none","rent",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",24,"critical","others",11938,"< 100 DM","< 4 years",2,"male:single","co-applicant",3,"car or other",39,"none","own",2,"management/self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes",2,"BadLoan"
"no checking",18,"fully paid at this bank","car (new)",6458,"< 100 DM",">= 7 years",2,"male:single","none",4,"unknown",39,"bank","own",2,"management/self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes",2,"BadLoan"
"< 200 DM",12,"paid to date","car (new)",6078,"< 100 DM","< 7 years",2,"male:single","none",2,"car or other",32,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",24,"paid to date","furniture/equipment",7721,"unknown","< 1 year",1,"female:divorced/separated/married","none",2,"savings/life ins",30,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","no",1,"GoodLoan"
"< 200 DM",14,"paid to date","business",1410,"< 1000 DM",">= 7 years",1,"male:married/widowed","none",2,"real estate",35,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",6,"past delays","business",1449,"< 500 DM",">= 7 years",1,"male:divorced/separated","none",2,"car or other",31,"bank","own",2,"skilled employee/official",2,"none","yes",1,"GoodLoan"
">= 200 DM",15,"paid to date","education",392,"< 100 DM","< 1 year",4,"female:divorced/separated/married","none",4,"savings/life ins",23,"none","rent",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",18,"paid to date","car (new)",6260,"< 100 DM","< 7 years",3,"male:single","none",3,"real estate",28,"none","rent",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"no checking",36,"critical","car (new)",7855,"< 100 DM","< 4 years",4,"female:divorced/separated/married","none",2,"real estate",25,"stores","own",2,"skilled employee/official",1,"yes, registered under the customers name","yes",2,"BadLoan"
"< 0 DM",12,"paid to date","radio/television",1680,"< 1000 DM",">= 7 years",3,"male:married/widowed","none",1,"real estate",35,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",48,"critical","radio/television",3578,"unknown",">= 7 years",4,"male:single","none",1,"real estate",47,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",42,"paid to date","radio/television",7174,"unknown","< 7 years",4,"female:divorced/separated/married","none",3,"car or other",30,"none","own",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",2,"BadLoan"
"< 0 DM",10,"critical","furniture/equipment",2132,"unknown","< 1 year",2,"female:divorced/separated/married","co-applicant",3,"real estate",27,"none","rent",2,"skilled employee/official",1,"none","no",1,"GoodLoan"
"< 0 DM",33,"critical","furniture/equipment",4281,"< 1000 DM","< 4 years",1,"female:divorced/separated/married","none",4,"car or other",23,"none","own",2,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 200 DM",12,"critical","car (new)",2366,"< 1000 DM","< 7 years",3,"male:divorced/separated","none",3,"car or other",36,"none","own",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",21,"paid to date","radio/television",1835,"< 100 DM","< 4 years",3,"female:divorced/separated/married","none",2,"real estate",25,"none","own",2,"skilled employee/official",1,"yes, registered under the customers name","yes",2,"BadLoan"
"no checking",24,"critical","car (used)",3868,"< 100 DM",">= 7 years",4,"female:divorced/separated/married","none",2,"car or other",41,"none","rent",2,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",12,"paid to date","furniture/equipment",1768,"< 100 DM","< 4 years",3,"male:single","none",2,"real estate",24,"none","rent",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
">= 200 DM",10,"critical","car (new)",781,"< 100 DM",">= 7 years",4,"male:single","none",4,"unknown",63,"none","for free",2,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",18,"paid to date","furniture/equipment",1924,"unknown","< 1 year",4,"female:divorced/separated/married","none",3,"real estate",27,"none","rent",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 0 DM",12,"critical","car (new)",2121,"< 100 DM","< 4 years",4,"male:single","none",2,"savings/life ins",30,"none","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",12,"paid to date","radio/television",701,"< 100 DM","< 4 years",4,"male:married/widowed","none",2,"real estate",40,"none","own",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 200 DM",12,"paid to date","repairs",639,"< 100 DM","< 4 years",4,"male:single","none",2,"car or other",30,"none","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 200 DM",12,"critical","car (used)",1860,"< 100 DM","unemployed",4,"male:single","none",2,"car or other",34,"none","own",2,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",12,"critical","car (new)",3499,"< 100 DM","< 4 years",3,"female:divorced/separated/married","co-applicant",2,"real estate",29,"none","own",2,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 200 DM",48,"paid to date","car (new)",8487,"unknown","< 7 years",1,"female:divorced/separated/married","none",2,"car or other",24,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",36,"past delays","education",6887,"< 100 DM","< 4 years",4,"male:single","none",3,"savings/life ins",29,"stores","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",2,"BadLoan"
"no checking",15,"paid to date","furniture/equipment",2708,"< 100 DM","< 1 year",2,"male:single","none",3,"savings/life ins",27,"bank","own",2,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"no checking",18,"paid to date","furniture/equipment",1984,"< 100 DM","< 4 years",4,"male:single","none",4,"unknown",47,"bank","for free",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",60,"paid to date","radio/television",10144,"< 500 DM","< 7 years",2,"female:divorced/separated/married","none",4,"real estate",21,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",12,"critical","radio/television",1240,"unknown",">= 7 years",4,"female:divorced/separated/married","none",2,"real estate",38,"none","own",2,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",27,"past delays","car (used)",8613,">= 1000 DM","< 4 years",2,"male:single","none",2,"car or other",27,"none","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",12,"paid to date","radio/television",766,"< 1000 DM","< 4 years",4,"male:single","none",3,"real estate",66,"none","own",1,"unskilled - resident",1,"none","yes",2,"BadLoan"
"< 200 DM",15,"critical","radio/television",2728,"unknown","< 7 years",4,"male:single","guarantor",2,"real estate",35,"bank","own",3,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
